id,word,language,definition,part_of_speech,example,tag,usage_count,created_at,updated_at
429,"a",en,"一个（不定冠词）","article","She bought a new book.","",2,2025-11-05 15:19:07,2025-11-05 15:19:07
497,"abandon",en,"放弃","verb","He decided to abandon his car and walk.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1083,"aberrant",en,"异常的，偏离常规的","adjective","His aberrant behavior worried his friends.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1179,"abeyance",en,"中止，暂缓","noun","The project is in abeyance until funding is approved.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
498,"ability",en,"能力","noun","She has the ability to solve complex problems.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1180,"abnegate",en,"放弃，拒绝","verb","She decided to abnegate her claim to the inheritance.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1084,"abnegation",en,"自我克制，放弃","noun","Her abnegation of luxury impressed everyone.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
499,"abnormal",en,"异常的","adjective","The test results were abnormal.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
500,"abolish",en,"废除","verb","The government plans to abolish the old law.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
501,"abroad",en,"在国外","adverb","She loves traveling abroad.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1085,"abrogate",en,"废除，取消","verb","The government decided to abrogate the treaty.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
1086,"abscond",en,"潜逃，偷偷离开","verb","The thief absconded with the jewels.","GRE",0,2025-11-06 05:15:54,2025-11-06 05:15:54
502,"absence",en,"缺席","noun","His absence was noticed by everyone.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
503,"absolute",en,"绝对的","adjective","He has absolute confidence in his team.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
504,"absorb",en,"吸收","verb","Plants absorb water from the soil.","四级",0,2025-11-06 05:15:54,2025-11-06 05:15:54
